T,SS_P+,Fever_p+,Fever__p+_Secondary+,Fever__p+__PHC,Fever__p+__PHC_RURAL,Fever__p+__PHC_URBAN,DPS,BI,p+,ORF,N,社区阳性率,社区ORF,社区N,污水处理厂阳性率,污水处理厂ORF,污水处理厂N,飞机阳性率,飞机ORF,飞机N,医院阳性率,医院ORF,医院N,酒店阳性率,酒店ORF,酒店N
2023/1/8,68.89,,,,,,163.4285714,247773,0.415584416,12609.40205,66582.24924,0.131868132,7028.542219,55130.29466,0.428571429,5071.975606,8327.080043,0,0,0,0.102040816,508.8842229,3124.874542,0,0,0
2023/1/15,22.5,,,,,,398.4285714,134485.1429,0.261069926,312.5951235,540.2554695,0.261904762,203.2591222,311.5972366,0.285714286,96.21893833,199.4921337,0,0,0,0.202380952,13.11706292,29.16609916,0,0,0
2023/1/22,17.78,,,,,,211.4285714,75285.85714,0.247926267,24.2707479,48.2807377,0.25974026,7.767013632,19.12043047,0.285714286,14.24688758,25.06169062,0,0,0,0.142857143,2.256846684,4.098616609,0,0,0
2023/1/29,4.17,,,,,,65.85714286,93778,0.24,23.18458104,49.22156226,0.224489796,1.482848346,4.74374194,0.274725275,11.39785318,23.7404124,0,0,0,0.171428571,10.30387951,20.73740791,0,0,0
2023/2/5,2,,,,,,100,93418.28571,0.138248848,1.359972082,2.461345157,0.119047619,0.290787437,0.813554293,0.142857143,0.739399037,1.174319075,0,0,0,0.166666667,0.329785608,0.473471789,0,0,0
2023/2/12,0,,,,,,36.28571429,72200.85714,0.162475313,5.876362872,13.23650666,0.15,2.107334062,4.912337787,0.21978022,2.782942647,6.677365554,0.142857143,0.641098734,0.82120998,0.071428571,0.344987429,0.825593339,0,0,0
2023/2/19,0,,,,,,81.85714286,80831.85714,0.18106576,5.967764668,22.22531011,0.152380952,3.764026636,10.48534034,0.263736264,1.903004638,9.645382945,0.071428571,0,0.310033455,0.095238095,0.300733393,1.784553378,0,0,0
2023/2/26,1.56,0.193200418,0.208700362,0.081946625,0.119047619,0.05380334,53.71428571,94900.42857,0.181300427,8.321713024,40.62538416,0.173934837,4.074027354,15.71747736,0.225961538,2.816919971,20.85355305,0.142857143,1.244555685,1.949938603,0.095238095,0.186210014,2.104415152,0,0,0
2023/3/5,5.71,0.05841026,0.058687403,0.051158301,0.025274725,0.063208617,22.71428571,69690.42857,0.122923588,5.305457491,22.45608507,0.135338346,3.982811262,13.84648984,0.116071429,0.550675198,5.749256415,0.071428571,0,0.322202717,0.119047619,0.771971032,2.538136102,0,0,0
2023/3/12,7.32,0.045620275,0.048375891,0.024374445,0.00621118,0.023326376,23,61619,0.140642303,3.983800536,18.17073316,0.139097744,2.136717625,9.824160595,0.160714286,1.374939024,5.59620639,0,0,0,0.142857143,0.472143887,2.750366174,0,0,0
2023/3/19,5.24,0.043204875,0.041859161,0.050046652,0.052938052,0.042024642,17.42857143,53750,0.144998618,3.171325138,24.86417136,0.12244898,1.661000193,9.788388706,0.205357143,1.246364234,11.81706504,0.178571429,0,1.352815664,0.071428571,0.26396071,1.905901951,0,0,0
2023/3/26,5.26,0.029873189,0.033849459,0.018903351,0.040837951,0.008294301,11.57142857,51204,0.167321051,10.52010305,63.28274459,0.142857143,5.978431715,32.38297121,0.232142857,2.786224702,24.8475962,0.142857143,0.595312143,1.313237917,0.071428571,1.160134495,4.738939263,0,0,0
2023/4/2,3,0.016995751,0.016494326,0.017484006,0.025900514,0.01586151,8.571428571,47501.71429,0.141034985,5.551242761,43.96498671,0.114190158,3.310434569,18.17203869,0.221230159,2.240808192,24.58593995,0.142857143,0,0.642195754,0.023809524,0,0.564812317,0,0,0
2023/4/9,2,0.004304815,0.006000148,0.002003383,0.002421308,0.001322751,5,48699.85714,0.157380952,5.675188286,47.58731183,0.131428571,2.246537755,17.07756008,0.217261905,0.771721075,17.03152643,0.142857143,1.008586182,1.385055597,0.095238095,1.648343274,12.09316972,0,0,0
2023/4/16,2,0.004307984,0.007261613,0.000634921,0,0.00093985,3.571428571,51555.28571,0.135258359,2.708870274,23.40302912,0.130952381,2.118240113,14.21703844,0.169642857,0.590630161,7.52440917,0,0,0,0.095238095,0,1.661581507,0,0,0
2023/4/23,1.5,0.017853835,0.024430002,0.009050292,0,0.009050292,4.142857143,69235.57143,0.166610644,9.207015944,138.7464032,0.154285714,4.563023894,69.26067714,0.200657895,3.614564555,55.99887348,0.238095238,0.758904503,4.472324953,0.095238095,0.270522992,9.014527651,0,0,0
2023/4/30,3.48,0.033363879,0.037245125,0.026251514,0,0.026251514,10.14285714,75148.42857,0.150288687,16.54762492,219.1690043,0.16,12.20564112,164.6037062,0.152836134,3.273244059,38.26275075,0.119047619,0.182247504,2.552222112,0.119047619,0.886492234,13.75032526,0,0,0
2023/5/7,12.5,0.076622353,0.069546585,0.107032535,0.426984127,0.074628281,53.42857143,77815.42857,0.167507003,2.718911066,92.70032833,0.171972789,1.140196111,49.3525452,0.178571429,0.881218444,24.68016851,0.214285714,0.092956967,3.113650421,0.119047619,0.604539544,15.02577768,0.142857143,0,0.528186508
2023/5/14,39.06,0.169989406,0.155838064,0.221243205,0.285714286,0.216126855,264.1428571,109488.7143,0.212827988,14.0571538,173.3122843,0.211428571,6.756026685,74.73378315,0.232142857,3.644485936,60.83322863,0.142857143,0.199721843,13.73554685,0.19047619,3.456919335,24.00972564,0,0,0
2023/5/21,54,0.255442693,0.264642378,0.178595571,0.214285714,0.177233119,571.4285714,160712.1429,0.240280112,93.29605675,440.6300543,0.24,57.26904886,283.4022489,0.232142857,23.25042768,94.39535724,0.142857143,0,2.842799216,0.261904762,12.77658021,59.9896489,0,0,0
2023/5/28,53.3,0.269771922,0.28913173,0.156149656,0.272727273,0.150540921,542.7142857,180710.5714,0.25106383,64.71721278,448.39386,0.256645963,33.74188462,230.982027,0.25,23.51477476,161.7924887,0.238095238,2.106160716,20.40922184,0.238095238,5.354392686,35.21012251,0,0,0
2023/6/4,56.1,0.207892932,0.233405718,0.071729125,0.336116265,0.062894928,299.7142857,143147.7143,0.236782086,89.69720153,423.8103286,0.255102041,44.07109947,202.4402724,0.223214286,33.67094868,142.6994059,0.214285714,2.993678792,15.45601792,0.204081633,8.961474586,63.21463245,0,0,0
2023/6/11,45.5,0.190958358,0.226205885,0.043387689,0.285714286,0.034512954,166.5714286,107469.7143,0.214800294,50.64119373,262.8992151,0.204622963,17.05072666,88.73135956,0.232142857,20.40556497,96.59814214,0.285714286,3.243989314,19.97530424,0.196428571,9.940912794,57.59440914,0,0,0
2023/6/18,34.72,0.186129745,0.248221893,0.015512809,0,0.015512809,110.5714286,76471.57143,0.206632653,28.27673563,166.0078227,0.197044335,11.7678364,76.19110014,0.214285714,9.806072686,48.51717036,0.285714286,2.406633641,10.54817485,0.196428571,4.296192905,30.75137735,0,0,0
2023/6/25,25.74,0.119830985,0.156189307,0.004264392,0.047619048,0.002232143,74,51787.85714,0.195454545,14.0847834,117.935603,0.176108374,5.858088635,40.86332667,0.267857143,4.964245864,40.4750167,0.142857143,0.513147123,4.859285806,0.128571429,2.749301781,31.73797381,0,0,0
2023/7/2,22.75,0.083030375,0.113142203,0.007908661,0.035714286,0.006560519,52.42857143,45352,0.272727273,21.52135223,41.59515349,0.12244898,9.067852652,13.39896366,0.142857143,9.264858974,12.78840269,0.285714286,1.772496659,13.05135367,0.125,1.416143943,2.356433468,0,0,0
2023/7/9,20.45,0.067843737,0.095592141,0.005502201,0,0.005564171,38,41358,0.25742115,79.52985429,181.5670689,0.246305419,40.80356567,93.95171114,0.276785714,23.12617628,50.03199106,0.285714286,2.562313078,6.216723915,0.25,13.03779927,31.36664275,0,0,0
2023/7/16,15.03,0.098742889,0.131471973,0.011258767,0,0.011420828,31.28571429,37789.85714,0.230687831,50.07344825,83.97967805,0.235397607,27.15657314,45.53096879,0.25,16.54986761,26.15016447,0.214285714,1.403930524,2.648012294,0.178571429,4.963076979,9.650532489,0,0,0
2023/7/23,14.11,0.05420385,0.072060723,0.002463054,0,0.002463054,24.57142857,36326.85714,0.238241758,51.17854902,71.72052656,0.230769231,24.8589207,35.33656165,0.276190476,20.20201635,27.19230072,0.285714286,1.6132831,3.067594088,0.178571429,4.504328867,6.124070092,0,0,0
2023/7/30,12.42,0.050135452,0.080877478,0.00310559,0,0.00310559,20.14285714,36552.28571,0.127413127,14.86850656,30.76261722,0.142857143,4.937997784,11.81629187,0.142857143,4.680211565,9.089173273,0.142857143,1.370645243,2.230065192,0.079365079,3.879651965,7.627086882,0,0,0
2023/8/6,9.46,0.042943521,0.069641348,0,0,0,20.14285714,38115.57143,0.362494331,28.81153375,116.124934,0.376984127,7.644744042,28.36648393,0.366107577,12.57332046,46.25522507,0.428571429,3.158386529,17.41398202,0.325396825,5.435082718,24.08924299,0,0,0
2023/8/13,10.64,0.057596591,0.076560133,0.003968254,0,0.003968254,24.28571429,45414,0.173745174,4.502888779,25.5591376,0.238095238,0.714207866,6.015897017,0.193277311,2.110511835,12.38609562,0.166666667,0.190437784,1.365450163,0.069444444,1.487731294,5.791694807,0,0,0
2023/8/20,13.33,0.07223972,0.095602108,0.005913134,0,0.00593692,25.28571429,46481.57143,0.18258484,5.345458136,32.02070117,0.206349206,0.632799758,4.274102419,0.18487395,2.175124648,11.00405262,0.19047619,1.257186549,7.319255501,0.158730159,1.280347181,9.423290634,0,0,0
2023/8/27,15.06,0.061645686,0.081195717,0.005714286,0,0.005714286,29,42944,0.171306645,5.03579235,25.73152047,0.19047619,1.15172093,5.932456989,0.176470588,1.891686082,7.435685601,0.285714286,0.283747613,2.166864847,0.111111111,1.708637725,10.19651303,0,0,0
2023/9/3,15.17,0.103649677,0.140804424,0.023076923,0,0.023076923,34.28571429,36260.71429,0.189356984,6.36429813,60.3498507,0.153061224,1.782580885,12.00967258,0.214005602,2.085341647,18.96999892,0.214285714,0.501075363,11.01312271,0.170634921,1.995300233,18.35705648,0,0,0
2023/9/10,21.16,0.087975172,0.127246229,0,0,0,34.14285714,33135.71429,0.328004886,11.93788523,40.38948589,0.323676324,3.894185938,9.17685976,0.350340136,6.980327848,22.84047778,0.285714286,0,1.509291502,0.242063492,1.06337144,6.862856851,0,0,0
2023/9/17,19.35,0.066867205,0.097372494,0,0,0,43.57142857,31895.71429,0.34242278,19.09009637,49.00772628,0.241758242,6.355265443,14.16617177,0.3625,9.921570486,26.29027429,0,0,0,0.126984127,2.81326044,8.551280222,0,0,0
2023/9/24,18.59,0.046180886,0.067388297,0,0,0,41.57142857,30796.28571,0.27234048,4.693302759,37.72040851,0.189952904,0.912641964,12.4464155,0.249404762,2.994742001,14.34158078,0,0,0,0.142857143,0.785918794,10.93241223,0,0,0
2023/10/1,8.17,0.039288511,0.059055024,0.011583012,0,0.011583012,33.71428571,26242.85714,0.162202381,0.466280815,65.22324898,0.142857143,0,5.834140996,0.168356375,0.24551595,21.51925314,0,0,0,0.174603175,0.220764865,37.86985485,0,0,0
2023/10/8,8.49,0.03681381,0.053357132,0.003484321,0,0.003484321,22.42857143,27645.85714,0.111096939,0.255556098,12.45157813,0.125,0,1.599284086,0.087301587,0.114164594,5.510726173,0,0,0,0.142857143,0.141391504,5.34156787,0,0,0
2023/10/15,9.13,0.021057597,0.034389125,0,0,0,22.28571429,22087.28571,0.075892857,0.342293513,9.382060101,0.102040816,0,1.428314304,0.084033613,0.087973229,2.6677959,0,0,0,0.035714286,0.254320283,5.285949897,0,0,0
2023/10/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
